Country,CO2,Average_Temperature,Population,GDP,GDP_per_Capita,CO2_per_Capita,CO2_per_Unit_GDP,Government_Rating,Government_Type,Paris_Agreement
Georgia,9.59,45.71,4024000.0,50245545984.0,12486.0,23.82,76.76,7.0,Republic,Yes
Germany,795.94,50.49,81787000.0,3850000000000.0,47073.0,97.32,1690.85,10.0,Republic,Yes
Ghana,16.12,82.35,27849000.0,96227016704.0,3455.0,5.79,466.38,8.0,Republic,Yes
Greece,74.96,58.19,10660000.0,264000000000.0,24765.0,70.32,302.68,10.0,Republic,Yes
Guatemala,15.43,76.18,16252000.0,105000000000.0,6461.0,9.5,238.89,8.0,Republic,Yes
Guinea,2.45,79.61,11432000.0,18918680576.0,1655.0,2.14,148.11,4.0,Republic,Yes
Guinea-Bissau,0.28,81.75,1737000.0,2266237952.0,1305.0,1.6,21.31,6.0,Republic,Yes
Haiti,2.91,78.33,10696000.0,16908846080.0,1581.0,2.72,184.01,0.0,Republic,Yes
Honduras,9.82,76.13,9113000.0,38066946048.0,4177.0,10.78,235.13,7.0,Republic,Yes
Hungary,46.68,53.4,9778000.0,232000000000.0,23727.0,47.74,196.73,10.0,Republic,Yes
India,2298.17,76.32,1310151936.0,7070000000000.0,5396.0,17.54,42587.72,9.0,Republic,Yes
Indonesia,507.01,79.69,258383008.0,2550000000000.0,9869.0,19.62,5137.38,9.0,Republic,Yes
Iran,640.81,65.26,78492000.0,1200000000000.0,15288.0,81.64,4191.54,-7.0,Republic,No
Iraq,165.65,73.41,35572000.0,495000000000.0,13915.0,46.57,1190.38,6.0,Republic,No
Ireland,38.43,49.13,4652000.0,249000000000.0,53525.0,82.61,71.8,10.0,Republic,Yes
Israel,64.95,69.17,7978000.0,256000000000.0,32088.0,81.41,202.4,6.0,Republic,Yes
Italy,355.79,55.97,60578000.0,2110000000000.0,34831.0,58.73,1021.46,10.0,Republic,Yes
Jamaica,7.58,78.92,2891000.0,20996364288.0,7263.0,26.22,104.38,9.0,Constitutional Monarchy,Yes
Japan,1224.54,53.25,127985000.0,4560000000000.0,35629.0,95.68,3436.9,10.0,Constitutional Monarchy,Yes
Jordan,25.5,67.69,9267000.0,86591225856.0,9344.0,27.52,272.91,-3.0,Constitutional Monarchy,Yes
Kazakhstan,263.59,45.72,17572000.0,415000000000.0,23617.0,150.01,1116.1,-6.0,Republic,Yes
Kenya,16.3,77.97,47878000.0,142000000000.0,2966.0,3.4,549.62,9.0,Republic,Yes
Kuwait,92.28,80.25,3836000.0,276000000000.0,71950.0,240.57,128.26,-7.0,Constitutional Monarchy,Yes
Kyrgyzstan,10.28,38.91,5959000.0,32729579520.0,5492.0,17.25,187.13,7.0,Republic,Yes
Laos,8.81,75.99,6741000.0,41478914048.0,6153.0,13.06,143.11,-7.0,Republic,Yes
Latvia,7.28,46.22,1998000.0,44948070400.0,22497.0,36.43,32.36,8.0,Republic,Yes
Lebanon,24.1,62.33,6533000.0,78333026304.0,11990.0,36.89,200.99,6.0,Republic,Yes
Lesotho,2.35,57.39,2059000.0,5754392064.0,2795.0,11.39,83.91,8.0,Constitutional Monarchy,Yes
Liberia,1.21,78.62,4472000.0,3559079936.0,796.0,2.69,151.41,6.0,Republic,Yes
Libya,56.4,73.17,6418000.0,54591766528.0,8506.0,87.87,663.0,0.0,Provisional,No
Lithuania,13.13,47.27,2932000.0,73384935424.0,25029.0,44.79,52.47,10.0,Republic,Yes
Luxembourg,9.33,51.01,567000.0,38716084224.0,68282.0,164.57,13.67,10.0,Constitutional Monarchy,Yes
Madagascar,3.62,73.41,24234000.0,30671144960.0,1266.0,1.49,285.63,6.0,Republic,Yes
Malawi,1.12,73.05,16745000.0,17570879488.0,1049.0,0.67,106.74,6.0,Republic,Yes
Malaysia,233.27,78.93,30271000.0,659000000000.0,21770.0,77.06,1071.51,5.0,Constitutional Monarchy,Yes
Mali,3.1,84.25,17439000.0,24329658368.0,1395.0,1.78,221.91,5.0,Provisional,Yes
Mauritania,2.46,83.57,4046000.0,11952831488.0,2954.0,6.09,83.34,-2.0,Republic,Yes
